0,1
cifar100_nl/img/train/wXTvlFsZze.png,wardrobe
cifar100_nl/img/train/AovEsCPbqM.png,house
cifar100_nl/img/train/lbfyXavfHe.png,leopard
cifar100_nl/img/train/AdmfkjeZXQ.png,skunk
cifar100_nl/img/train/tnycvSQZqq.png,butterfly
cifar100_nl/img/train/NVGZNsyDZo.png,orange
cifar100_nl/img/train/ZOOGfRqayU.png,beaver
cifar100_nl/img/train/hfWJnErcix.png,skunk
cifar100_nl/img/train/lJCHcsKAVP.png,orange
cifar100_nl/img/train/wsVtULEPzD.png,motorcycle
cifar100_nl/img/train/SuRPLTBWxA.png,cloud
cifar100_nl/img/train/COnQgKNzAQ.png,hamster
cifar100_nl/img/train/GpXVsKZSqm.png,kangaroo
cifar100_nl/img/train/SOLKvwnnke.png,apple
cifar100_nl/img/train/FOOnjAxStc.png,beaver
cifar100_nl/img/train/CtrivEHZCd.png,wardrobe
cifar100_nl/img/train/sRBnZCkAOV.png,cockroach
cifar100_nl/img/train/rMEVEnnAwS.png,fox
cifar100_nl/img/train/iyXxcCovAI.png,orchid
cifar100_nl/img/train/rvzcVUIOdy.png,lobster
cifar100_nl/img/train/FTyavcnlbw.png,beaver
cifar100_nl/img/train/HMmgLONGSD.png,couch
cifar100_nl/img/train/neBAXKwaXi.png,ray
cifar100_nl/img/train/cqeJpvfkzp.png,camel
cifar100_nl/img/train/JYieMzyJPo.png,camel
cifar100_nl/img/train/yeoYgXAhlf.png,palm_tree
cifar100_nl/img/train/KAsHwhXAli.png,skyscraper
cifar100_nl/img/train/EwPVLdVmlS.png,cattle
cifar100_nl/img/train/DWTRUuYsao.png,oak_tree
cifar100_nl/img/train/qsTglIztRX.png,plain
cifar100_nl/img/train/GLDZxpoTcG.png,crab
cifar100_nl/img/train/dxNJFlyCMp.png,bed
cifar100_nl/img/train/avvoRzsYRz.png,snake
cifar100_nl/img/train/rdnlsOINZX.png,plain
cifar100_nl/img/train/GvEYNyzAwu.png,orchid
cifar100_nl/img/train/sCABXSwDaT.png,elephant
cifar100_nl/img/train/rpBazQoKLK.png,pine_tree
cifar100_nl/img/train/xtZyJnGiLm.png,chimpanzee
cifar100_nl/img/train/QzSSeQRziZ.png,plain
cifar100_nl/img/train/DagnaWpfLp.png,cloud
cifar100_nl/img/train/AWodHEmWGY.png,wolf
cifar100_nl/img/train/xdPJTyCnxR.png,leopard
cifar100_nl/img/train/MNqzQwPKRI.png,crab
cifar100_nl/img/train/XHtMQDNebG.png,palm_tree
cifar100_nl/img/train/eydMcJjdTb.png,mushroom
cifar100_nl/img/train/LrAWQJmROK.png,orchid
cifar100_nl/img/train/jycOIoqxId.png,bed
cifar100_nl/img/train/rzcRBaxMEF.png,cattle
cifar100_nl/img/train/fjcIUavPNV.png,trout
cifar100_nl/img/train/GmxNXLXeAR.png,table
cifar100_nl/img/train/WMbkfExUfc.png,sea
cifar100_nl/img/train/AaEPXaURzO.png,rocket
cifar100_nl/img/train/VDZHekpTSP.png,plate
